Frameworx Application,Category,Application Identifier,Overview,Frameworx Function (contained by),Frameworx Domain (Horizontal),Maturity Level,Frameworx Status,LV1,LV2,LV3,LV4,LV5,LEVEL,PARENT,Status
Time Reporting & Attendance Management,(2) TAM Application Type,9.2.4,Time Reporting & Attendance Management provides the necessary means for tracking work time and attendance. It also applies time rules.,"Time & Attendance Reporting
Time Attendance Management",Enterprise Domain,4,Released,9,2,4,,,2,9.2,1
Recruitment & Staffing,(2) TAM Application Type,9.2.5,"Recruiting and Staffing is the processes of ensuring the company has the right labor force to meet company objectives. This includes the right skilled labor force, the right sized labor force and a productive labor force. It also ensures that a company meets legal, regulatory and internal requirements.","Recruitment and Staffing Reporting
Staff Recruiting
Staffing",Enterprise Domain,4,Released,9,2,5,,,2,9.2,1
Ethics & Compliance,(2) TAM Application Type,9.2.6,Ethic & Compliance ensures the company complies with legal and regulatory requirements as it relates to hiring and labor practices. It ensures that employees and other associated with the company are trained on ethical practices. The application also ensures that the company has instituted reasonable protections against those that would practice unethical behavior.,Ethics & Compliance,Enterprise Domain,4,Released,9,2,6,,,2,9.2,1
Employee Records Management,(2) TAM Application Type,9.2.7,"Employee Records Management provides the necessary processes, guidelines and solutions for managing and retaining employee records.","Employee Records Administration
Employee Records Support",Enterprise Domain,4,Released,9,2,7,,,2,9.2,1
Awards & Recognition,(2) TAM Application Type,9.2.8,Awards & Recognition provides the necessary guidelines and tools to properly and in a consistent way recognize and award employees.,"Awards & Recognition Assigning
Awards & Recognition Guideline Management",Enterprise Domain,4,Released,9,2,8,,,2,9.2,1
Salary Planning,(2) TAM Application Type,9.2.9,"Salary Planning provides the necessary budgeting, compensation guidelines and analytics to support compensation plans.","Salary Analytics and Reporting
Salary Planning
Salary Update Administration",Enterprise Domain,4,Released,9,2,9,,,2,9.2,1
Corporate Communications,(2) TAM Application Type,9.2.10,Corporate Communications for HR has the responsibility of communicating to the employee’s key corporate information through multiple communications paths.,Corporate Communications,Enterprise Domain,4,Released,9,2,10,,,2,9.2,1
Community Involvement,(2) TAM Application Type,9.2.11,Community Involvement supports good corporate citizenship by lending and or supporting a company’s talent and resources for the good of a community. Community Involvement builds trust and a positive image between a corporation and its community.,Community Involvement Interaction Management,Enterprise Domain,4,Released,9,2,11,,,2,9.2,1
Labor Relations,(2) TAM Application Type,9.2.12,"Labor Relations has the responsibility to bring together unionized labor, corporate goals and legal requirements to establish and execute labor agreements.",Labor Relations Support,Enterprise Domain,4,Released,9,2,12,,,2,9.2,1
Corporate Training,(2) TAM Application Type,9.2.13,Corporate Training has the responsibility to train the workforce to meet current and future skill demands.,"Corporate Training Analytics and Reporting
Corporate Training Development
Corporate Training Planning",Enterprise Domain,4,Released,9,2,13,,,2,9.2,1
Benefits Management,(2) TAM Application Type,9.2.14,"Benefits Management has the responsibility of developing and administering a company’s benefit program that is cost effective, competitive and sustainable. Primary benefit areas include Healthcare and Pensions.","Benefits Development and Administration
Benefits Management Analytics and Reporting",Enterprise Domain,4,Released,9,2,14,,,2,9.2,1
Financial Management,(1) TAM Application Type,9.3,"Financial Management - for financial management functionality including accounting, reporting, analysis and treasury management, plus internal controls and documentation of all financial processes and transactions.",,Enterprise Domain,4,Released,9,3,,,,1,9,1
Financial Core Operations,(2) TAM Application Type,9.3.1,Financial Core Operations applications provide the required functionality to manage the major financial processes of a corporation.,,Enterprise Domain,4,Released,9,3,1,,,2,9.3,1
General Ledger,(3) TAM Application Type,9.3.1.1,"General Ledger applications provide the required functionality to create a book of final entry summarizing all of a company's financial transactions, through offsetting debit and credit accounts.","Chart of Accounts Maintenance
General Ledger Compliance
General Ledger Drilldowns
General Ledger Integration
General Ledger month-end closing
General Ledger Security
Multi-ledger Financial Reporting",Enterprise Domain,4,Released,9,3,1,1,,3,9.3.1,1
"Financial Controls, Editing, & Reference Data",(3) TAM Application Type,9.3.1.2,"Financial Controls, Editing & Reference Data applications provide the required functionality to enable financial feeders to pre-edit and validate transactions prior to sending them to the financial ledgers for posting. It also covers the receipt of those transactions by the financial applications and the validation features prior to transaction posting.","Financial batch validation
Financial DataTranslation
Financial error correction
Financial Reference Data Maintenance
Financial Transaction Routing",Enterprise Domain,4,Released,9,3,1,2,,3,9.3.1,1
Accounts Payable,(3) TAM Application Type,9.3.1.3,Accounts Payable applications provide the required functionality to maintain a ledger containing the accounts of all of a company's creditors.,"Accounts Payable Global Accounting
Accounts Payable Supplier Management
Electronic Payments Support
Invoice and payment status support
Invoice management and payments",Enterprise Domain,4,Released,9,3,1,3,,3,9.3.1,1
Fixed Assets,(3) TAM Application Type,9.3.1.4,"Fixed Asset applications provide the required functionality to manage the long-term assets of a business at a summarized level. Detailed, subsidiary asset records are not covered by this group of applications.","Financial Systems Application Integration
Fixed Assets Depreciation calculation
Fixed Assets Journaling
Fixed Assets Reporting
Total Cost of Ownership Tracking",Enterprise Domain,4,Released,9,3,1,4,,3,9.3.1,1
Project Accounting,(3) TAM Application Type,9.3.1.5,"Project Accounting applications provide the required functionality to create financial reports specifically designed to track the financial progress of projects, which can then be used by managers to aid project management.","Project Accounting Asset Capitalization
Project Accounting Budget Creation
Project Accounting Budgetary Control
Project Accounting Comparison
Project Accounting Cost Distribution
Project Accounting Reporting
Project Accounting Transaction Control
Project Expenditure Posting",Enterprise Domain,4,Released,9,3,1,5,,3,9.3.1,1
Employee Expense Reimbursement,(2) TAM Application Type,9.3.2,Employee Expense Reimbursement applications provide the tools to effectively manage the employee travel and expense process.,"Detection of Duplicate Expenses
Electronic Attachments to Expence Reports
Electronic Routing for Approval
Expense Data Downloading
Integration with Accounts Payable",Enterprise Domain,4,Released,9,3,2,,,2,9.3,1
Capital Lease Management,(2) TAM Application Type,9.3.3,"Capital Lease Management applications provide the required functionality to enable the service provider Capital Services legal entity to support business customer purchases of our products and services by converting one-time, upfront costs into monthly payments.","Capital Lease Complex Transaction management
Capital Lease Contract Tracking
Capital Lease Reporting",Enterprise Domain,4,Released,9,3,3,,,2,9.3,1
Financial Core Operations Reporting,(2) TAM Application Type,9.3.4,Financial Core Operations Reporting applications are financial repositories and reporting tools for data associated with the Financial Core Operations applications.,"Accounts Payable Reporting
Affiliate Billing Reporting
Cost Allocations Reporting
Financial Data Reporting
Fixed Assets Reporting
General Ledger Reporting
Project Accounting Reporting
Revenue Eliminations Reporting",Enterprise Domain,4,Released,9,3,4,,,2,9.3,1
Financial Business Unit Reporting,(2) TAM Application Type,9.3.5,Financial Business Unit Reporting applications are financial repositories and profitability reporting tools for the service provider and all its subsidiaries.,"Budget to Actual Variance Reporting
Business Unit Profitability Reporting
Financial Business Unit Financial Repositories
Process and product group profitability reporting",Enterprise Domain,4,Released,9,3,5,,,2,9.3,1
Corporate Tax,(2) TAM Application Type,9.3.6,Corporate Tax applications provide the required functionality to calculate and submit tax filings for all service provider companies and affiliates.,"1099 Processing
Corporate Tax function to Accounts Payable Integration
Gross Receipt Tax calculation and filings
Income Tax calculation and filings
Network Asset Leasing calculation and filings
Property Tax calculation and filings
Sales & Use Tax  calculation and filings",Enterprise Domain,4,Released,9,3,6,,,2,9.3,1
Corporate Treasury,(2) TAM Application Type,9.3.7,Corporate Treasury applications provide the required functionality to manage service provider funds and bank accounts.,"Cash Position Management
Corporate Treasury Bank Accounts Tracking
Foreign Exchange Rates Management
Intercompany cash settlements",Enterprise Domain,4,Released,9,3,7,,,2,9.3,1
Cash Reconciliation & Escheatment,(2) TAM Application Type,9.3.8,"Cash Reconciliation & Escheatment applications provide the required functionality to perform bank statement reconciliations, manage unclaimed checks, and recover unclaimed funds payable to the service provider.","Bank Statement Reconciliation
Escheatment of unclaimed checks support
Reconciliation & Escheatment to Accounts Payable Integration
Recovery of unclaimed funds support
Replacement check approval support",Enterprise Domain,4,Released,9,3,8,,,2,9.3,1
General Ledger Account Reconciliation,(2) TAM Application Type,9.3.9,General Ledger Account Reconciliation applications provide the required functionality to support comparisons between balances in the general ledger and other subsidiary ledgers to assure that accounts are correct.,"Accounts Payable Reconciliation
Accounts Receivable Reconciliation
Balance Sheet and Income Statement Accounts Reconciliation
Fixed Assets Reconciliation
Investment Accounts Reconciliation
Payroll function Reconciliation",Enterprise Domain,4,Released,9,3,9,,,2,9.3,1
Auditing,(2) TAM Application Type,9.3.10,Auditing applications provide the required functionality to attest to the accuracy of the financial records.,"Audit Findings Documentation
SOX compliance Auditing",Enterprise Domain,4,Released,9,3,10,,,2,9.3,1
Regulatory Accounting,(2) TAM Application Type,9.3.11,"Regulatory Accounting applications provide the required functionality to comply with federal regulations. In the US, it is specially Title 47, Part 64 (Telecommunication - Miscellaneous Rules Relating to Common Carriers).","Affiliate Billing Regulatory Accounting
Cost Allocations Regulatory Accounting
International settlements Regulatory Accounting",Enterprise Domain,4,Released,9,3,11,,,2,9.3,1
Asset Management,(1) TAM Application Type,9.4,Asset Management - for understanding the physical and financial assets deployed in the enterprise and optimizing the economics associated with those investments along the lifecycle from introduction through maintenance to eventual disposal.,,Enterprise Domain,4,Released,9,4,,,,1,9,1
Corporate Real Estate,(2) TAM Application Type,9.4.1,"Corporate real estate asset management focus on maximizing property value for investment purposes. Asset management, is to cultivate market value so ownership can increase its returns.",,Enterprise Domain,4,Released,9,4,1,,,2,9.4,1
Real Estate Property & Building Portfolio and Lease Management,(3) TAM Application Type,9.4.1.1,"Real estate property management prioritize to increase the building‘s Net Operating Income and value.Building portfolios manages different types of property and in different real estate markets. Lease Management plans, tracks, manage and maintain all aspects of leased real estates.","Building portfolios Management
Property Lease Management
Real Estate Property Management",Enterprise Domain,4,Released,9,4,1,1,,3,9.4.1,1
Real Estate Facility Operations Management,(3) TAM Application Type,9.4.1.2,Real Estate Facility Operations Management prioritize the day-to-day operations for the user's/occupier's needs and demands.Real Estate Facility Management function supports the Facility Managers control of the expenses and operational planning.,Real Estate Facility Management,Enterprise Domain,4,Released,9,4,1,2,,3,9.4.1,1
Space Planning,(3) TAM Application Type,9.4.1.3,"Space Planning offers a visual way to format, update and report property space information. It allows to measure space efficiency and quickly identify vacant and underutilized space, used for planning and space optimization. It supports benchmarking facility performance, and determine the total cost of occupancy.","Asset management Integration
Property Floor Plan Management
Property Utilization Management",Enterprise Domain,4,Released,9,4,1,3,,3,9.4.1,1
Real Estate Asset Capital Planning,(3) TAM Application Type,9.4.1.4,Real Estate Asset Capital Planning supports the process of budgeting Real Estate Assets for the future long term plans. Analysis and market planning to find the best markets and the best locations within those markets for investment or leasing.,"Real Estate Asset Capital Budgeting
Real Estate Market and Location Analysis",Enterprise Domain,4,Released,9,4,1,4,,3,9.4.1,1
Environmental Health & Safety Monitoring and Compliance Management,(3) TAM Application Type,9.4.1.5,"HSE (Healty, Safety & Environmental) aspects of real estates, and equipment and services related to the real estates needs to be evaluated continuously to comply to applicable laws and relevant industry standards. To achieve a good HSE management there is a need for supporting applications to have knowledge about applicable laws and regulations, setting up policies and objectives with monitoring/followup up, and auditing and reviews.","Real Estate HSE Policies/Objectives Planning and Followup Support
Real Estate HSE Regulation and Auditing Support",Enterprise Domain,4,Released,9,4,1,5,,3,9.4.1,1
Real Estate Capital Construction Management,(3) TAM Application Type,9.4.1.6,"The construction process, and the documents involved for each construction phase, in addition to the number diverse stakeholders and complicated workflows calls for a specialized project management.",Real Estate Construction Management,Enterprise Domain,4,Released,9,4,1,6,,3,9.4.1,1
Damage Claims Management,(2) TAM Application Type,9.4.2,"Asset claim management is for the tracking of claims regarding anything considered valuable to an organization, whether tangible or intangible. Asset claim management is used to process inventory claims for theft or damaged inventory. Similarly, for Intangible assets, claims apply to trademarks, intellectual property rights and engineering claims, copyright claims, franchise claims, and contract claims.","Damage Claim Filing
Damage Claim Handling Administration
Damage Claim Loss Calculation and Analyzing
Damage Claim to Accounting Integration",Enterprise Domain,4,Released,9,4,2,,,2,9.4,1
Fleet Management,(2) TAM Application Type,9.4.3,"Fleet Management is a function which allows companies which rely on transportation in business to remove or minimize the risks associated with vehicle investment, improving efficiency, productivity and reducing their overall transportation and staff costs, providing 100% compliance with government legislation (duty of care) and many more. (Source Wikipedia)","Fleet Lifecycle and Maintenance Planning
Fleet Optimiztion
Fleet Security and Efficiency Management
Fleet Tracing and Monitoring",Enterprise Domain,4,Released,9,4,3,,,2,9.4,1
Security Management,(1) TAM Application Type,9.5,"Security Management Applications are part of Enterprise Management. They provide a Unified approach to Security, and the foundation technologies to:  Protect systems and network infrastructure against   unauthorized access to or modification of information, whether in storage,   processing or transit   Restrict provision of service to only authorized   users   Prevent any denial of service to authorized   users   Provide the measures necessary to detect,   document, and counter such threats",,Enterprise Domain,4,Released,9,5,,,,1,9,1
Corporate Security,(2) TAM Application Type,9.5.1,"Corporate security identifies and effectively mitigates or manages, at an early stage, any developments that may threaten the resilience and continued survival of a corporation. It is a corporate function that oversees and manages the close coordination of all functions within the company that are concerned with security, continuity and safety. (Source Wikipedia)",,Enterprise Domain,4,Released,9,5,1,,,2,9.5,1
Employee Identification Management,(3) TAM Application Type,9.5.1.1,Securing the employees to have a correct identification with the right authorities to be used in the overall Corporate security.,"Identification Card Management
Unique Employee Number Registration",Enterprise Domain,4,Released,9,5,1,1,,3,9.5.1,1
Building Access Management,(3) TAM Application Type,9.5.1.2,"Providing functions so only the right people have the right access, to premises, buildings and areas within buildings",Building Access Control,Enterprise Domain,4,Released,9,5,1,2,,3,9.5.1,1
Application Security,(2) TAM Application Type,9.5.2,"Providing functions so only the right people and systems have the right access, according to authentication and authority.
This may call for e.g.
> User Management through a central user repository
> User - Role Management
> Authentication with Single Sign-On
> Authentication with ""Strong Authentication"" if needed 
> Authorization that is Role and Rule based, and Central Authentication based","Application Security Management
Authorization Control and Management
Single Sign-On Access Control",Enterprise Domain,4,Released,9,5,2,,,2,9.5,1
Vulnerability Management,(2) TAM Application Type,9.5.3,"Assessing networks and systems for vulnerabilities and taking proactive action to reduce the vulnerabilities or limit the impacts if they are exploited. This is achieved by documenting and managing element configuration, recording any vulnerability as they are discovered, and applying in a timely manner the software patches and upgrades that address known vulnerabilities","Software Update Planning
Vulnerability Assessment Planning",Enterprise Domain,4,Released,9,5,3,,,2,9.5,1
Anomaly Management,(2) TAM Application Type,9.5.4,"Identifying and preventing any misuse of a network or system that falls outside normal system operation, by monitoring network and system activity and determining whether it is normal or anomalous, based on rules, signatures or heuristics. This is achieved by a combination of Instrumentation and Monitoring, Event and Log Correlation and Intrusion Detection Systems","Anomaly Monitoring
Anomaly Monitoring Data Analysis",Enterprise Domain,4,Released,9,5,4,,,2,9.5,1
Lawful Interception,(2) TAM Application Type,9.5.5,Providing the interception technologies that meet statutory obligations for lawful interception for any service that requires it,Lawful Interception,Enterprise Domain,4,Released,9,5,5,,,2,9.5,1
PKI and Digital Certificates,(2) TAM Application Type,9.5.6,"Enabling users to securely and privately exchange data using digital certificates that are obtained and shared through a trusted authority, and enabling secure authentication of devices equipped with digital certificates. This is achieved by Public Key Infrastructure systems that provides digital certificates that can identify an individual, an organization or a device& and include directory services that can store and, when necessary, revoke the certificates",PKI and Digital Certificates Support,Enterprise Domain,4,Released,9,5,6,,,2,9.5,1
Knowledge Management,(1) TAM Application Type,9.6,"Knowledge Management (KM) application supports the identification, collation, labelling, storage and sharing of knowledge. Knowledge includes insights, experiences, intellectual properties (both external and internal), organizational processes and practices that are vital for the enterprise operation and development.
It ensures that an organisation is having access to the same set of Information and Data about the Knowledge which is acquired with the time and past experience.",,Enterprise Domain,4,Released,9,6,,,,1,9,1
Intellectual Asset Management,(2) TAM Application Type,9.6.1,"Create, read, update and delete to enable the life cycle management for Internal & external intellectual assets used by the enterprise.","Intellectual Asset Management
Intellectual Asset Sharing Management
Intellectual Asset Usage Tracking
Patent Administration
Patent, Invention & Trademark Collection
Patent, Invention & Trademark Management",Enterprise Domain,4,Released,9,6,1,,,2,9.6,1
Enterprise Information and Collaboration Management,(2) TAM Application Type,9.6.2,"Enterprise Information and Collaboration Management application is responsible for managing the Information of insights related to enterprise processes and practices, market etc. It provides tools and technologies for the development and enhancements of enterprise operations through using/sharing the Information.","Collaboration Tools Provisioning
Enterprise Processes Information Management
Enterprise Web Sites & Portals Platform
Knowledge Enhancing",Enterprise Domain,4,Released,9,6,2,,,2,9.6,1
Content Management,(2) TAM Application Type,9.6.5,"Content Management Application enables enterprise to Acquire, Document, Host and Share knowledge.","Content Management Archival tools
Content Management Data Repository
Content Management Federation tools
Content Management Support for O&M",Enterprise Domain,4,Released,9,6,5,,,2,9.6,1
Knowledge Hosting and Sharing,(3) TAM Application Type,9.6.5.1,"Knowledge Hosting and Sharing application enables knowledge management to make the available Knowledge accessible to the right stake holders. It allows storage, discovery and listing of available knowledge and also applying policies and rules associated with the Knowledge items","Content Management Data Repository
Content Management Federation tools
Content Management Support for O&M
Knowledge Lifecycle Management
Knowledge Sharing
Knowledge Sharing Policy Application
Knowledge Tailoring",Enterprise Domain,4,Released,9,6,5,1,,3,9.6.5,1
Knowledge Acquisition & Documentation,(3) TAM Application Type,9.6.5.2,"Knowledge Acquisition and Documentation application enable identifying the enterprise vital knowledge, labelling the identified knowledge item and documenting it in the knowledge base.","Content Management Authoring Tool
Content Management Compilation Tool
Knowledge Base Documenting
Knowledge Identifying
Knowledge Labeling",Enterprise Domain,4,Released,9,6,5,2,,3,9.6.5,1
Fraud Management,(1) TAM Application Type,9.7,"Investigating, preventing and responding to activities that indicate fraudulent use of networks or systems. This is achieved by effective Fraud Management systems coupled with the instrumentation and monitoring that enables potential fraudulent activities to be identified. There are close linkages between fraud identification and anomaly detection.",Fraud & Anomaly Detecting,Enterprise Domain,4,Released,9,7,,,,1,9,1
Regulatory & Compliance Management,(1) TAM Application Type,9.8,"Applications to stay on top of changing laws, regulations, industry specific regulations, standards, and internal policies.","Regulatory & Compliance Documentation Management
Regulatory & Compliance monitoring
Regulatory & Compliance Reporting",Enterprise Domain,4,Released,9,8,,,,1,9,1
Administrative Services,(1) TAM Application Type,9.9,"Legal Administrative Services provides legal services like assistance and advice on issues such as procurement, contracting, public law and related activities.  Record Retention management assure compliance with federal and state laws,legal requirements or expectations, enterprise policies and procedures for themanagement of data and information related to the enterprise's operation.Advertising Administrative Services are primarily dealing with the enterprise's common advertising needs like Corporate advertising (that is more public relations than sales promotion) and Recruitment advertising.",,Enterprise Domain,4,Released,9,9,,,,1,9,1
Legal,(2) TAM Application Type,9.9.1,"Legal Administrative Services provides legal services like assistance and advice on issues such as procurement, contracting, public law and related activities.",Legal Assistance Support,Enterprise Domain,4,Released,9,9,1,,,2,9.9,1
Records Retention Management,(2) TAM Application Type,9.9.2,"Record Retention Management assure compliance with the retention aspects of federal and state laws,legal requirements or expectations, enterprise policies and procedures for themanagement of data and information.",Record Retention Management,Enterprise Domain,4,Released,9,9,2,,,2,9.9,1
Advertising,(2) TAM Application Type,9.9.3,Advertising Administrative Services are primarily dealing with the enterprise's common advertising needs like Corporate advertising (that is more public relations than sales promotion) and Recruitment advertising.,Administrative Advertising,Enterprise Domain,4,Released,9,9,3,,,2,9.9,1
Project Management,(2) TAM Application Type,9.9.4,"Project Management Tools application for resource and time planning, follow up of resource and time utilization and reporting of project progress and follow up results.","Project Followup
Project Planning
Project Reporting",Enterprise Domain,4,Released,9,9,4,,,2,9.9,1
Transportation & Travel Service,(2) TAM Application Type,9.9.5,Online Reservations and Agent-Assisted Bookings providing a robust online booking tool.Transportation Management function that provide planning of materials to be shipped to and from different locations.,"Online Travel Booking Tool
Transportation Management",Enterprise Domain,4,Released,9,9,5,,,2,9.9,1
Supply Chain Management,(1) TAM Application Type,9.10,"Supply Chain Management provides the necessary functionality to support the planning of needed materials and services, procurement of these materials and services, stocking and shipping preparation, and transportation to their final destination.",,Enterprise Domain,4,Released,9,10,,,,1,9,1
Supply Chain Planning,(2) TAM Application Type,9.10.1,Supply Chain Planning provides the necessary functionality to plan materials and services which will be required by the business for both customer orders and internal needs.,"Supply Demand Planning
Supply Sourcing Planning",Enterprise Domain,4,Released,9,10,1,,,2,9.10,1
Procurement,(2) TAM Application Type,9.10.2,"Procurement Management provides the necessary functionality to manage the requisitions for material and placing the orders with the contracted supplier/partner. This includes orders placed in conjunction with a customer order as well as orders placed as part of service provider expansions of product, service, or network.A Supplier/Partner Order can also include a simple transaction with a supplier/partner concerning an application purchased via a product catalog, and the app is delivered.","Procurement Order Monitoring and Payment
Procurement Requisition & Order Management",Enterprise Domain,4,Released,9,10,2,,,2,9.10,1
Transportation Management,(2) TAM Application Type,9.10.3,Transportation Management applications provide workflow and orchestration for the planning of materials to be shipped to and from storage locations. This is done in conjunction with both the suppliers and the Logistics fulfillment process in order to optimize the utilization of internal and 3rd party carriers.,Transportation Management,Enterprise Domain,4,Released,9,10,3,,,2,9.10,1
Logistics Management,(2) TAM Application Type,9.10.4,"Logistics Management is integral to the supply chain and provides the necessary functionality to manage receipt of fulfillment orders, inventory control choices, and packing requirements.Logistics also manages inbound shipments, outbound shipments and communication between suppliers.As well as involves overseeing the key links in the supply chain, such as shipping decisions, inventory control choices and packing requirements.","Stored material management
Supplied materials reception",Enterprise Domain,4,Released,9,10,4,,,2,9.10,1
Supply Chain Order Tracking Management,(2) TAM Application Type,9.10.5,"Supply Chain Order Tracking Management provides the necessary functionality to track the movement of shipments from point of origin through cross-docks, and to the final destination.",Supply Chain Order and shipment Tracking,Enterprise Domain,4,Released,9,10,5,,,2,9.10,1
Data Management,(1) TAM Application Type,9.11,"The Data Management (DM) application(s) provides functionalities to collect, store and make data available for consumption by applications inside and outside organization. They provide functionalities to ensure that the requirements for data security, integrity, quality, privacy are met and they comply to enterprise guidelines and standards.",,Enterprise Domain,4,Released,9,11,,,,1,9,1
Data Store Management,(2) TAM Application Type,9.11.1,"Data Store Management application (s) provides the functionalities to manage the data stores including lifecycle, structure, meta models and auditing to ensure that the Data Stores are available for use by Data Management applications.","Data Store Accessing
Data Store Content Modeling
Data Store Managing",Enterprise Domain,4,Released,9,11,1,,,2,9.11,1
Data Storage and Archival,(2) TAM Application Type,9.11.2,"Data Storage and Archival application provides functionalities to manage the lifecycle of data. Including read, creation, updating, deletion and data archival as per compliance policies. This includes log information for audit and reporting purposes to ensure that the stored data follows the data compliance guidelines.","Data Entity Accessing
Data Entity Archival
Entity Creation and lifecycle managemen",Enterprise Domain,4,Released,9,11,2,,,2,9.11,1
Data Distribution Management,(2) TAM Application Type,9.11.3,Data distribution management application provides functionalities to control the access to the data on request or according to configuration or subscription. The distribution of data is done in accordance to Compliance and Policies.,"Data Access Interface
Data Distribution
Data Distribution Configuration",Enterprise Domain,4,Released,9,11,3,,,2,9.11,1
Data Compliance and Policy Management,(2) TAM Application Type,9.11.4,"Data Compliance and Policy management application provides functionalities to define and manage the data compliance policies and rules e.g. the data privacy, data security and policies for trust management etc. It makes the policies and rules available for use by other Data Management applications.","Compliance and Policy Management Access
Data Compliance and Policy Configuration
Data Compliance and Policy distribution",Enterprise Domain,4,Released,9,11,4,,,2,9.11,1
Data Transformation and Formatting,(2) TAM Application Type,9.11.5,Data Transformation and Formatting application works as a mediation layer to enable Data Management applications to provide seamless interface to make the data ready for storage and make it available for consumption as per application specific format. It also provides functionalities to secure data for e.g. (encryption of credit/debit card details) as defined by data compliance guidelines.,"Application Accessing
Data Formatting
Data Transformation
Transformation and Formatting Configuration",Enterprise Domain,4,Released,9,11,5,,,2,9.11,1
Enterprise Application Integration,(1) TAM Application Type,10.1,"Enterprise Application Integration (EAI) is a business computing term for the plans, methods, and tools aimed at modernizing, consolidating, and coordinating the applications in an enterprise. EAI technology allows this integration to be done using techniques that leverage the architecture. Using these concepts, applications send or receive events / messages to or from other components or send or receive notifications. Such architecture provides greater degrees of freedom. For example, components can be replaced by new ones more easily as they have the same interface. It is also easier to plug-in a new component that will use the services already available. EAI includes:
• transport of data between applications
• data format translations
• implementation, at EAI level, of enhanced enterprise level objects
The following are two example solutions that can be found in the EAI sub-domain:
•         Managed File Transfer, referring to software for moving data, overcoming the limitations found in conventional FTP (e.g. support to multiple protocols, automation, security, auditability, monitoring, etc.).   
•         Cache and Distributed Caching, which goals are to provide performance and scalability to applications.
In the following sections, we start with a description of the analysis methodology and guidelines that are used in this section for the EA Integration of the focused applications. Use of this analysis methodology should reduce making inappropriate decisions based on expected capabilities associated with such architectures.
It must also be noted that Enterprise Integration is generally implemented in a number of successive phases. This is particularly true when few existing applications are already efficiently integrated together. It is recommended that the first phases usually consist in the integration of new features and new applications and that in further phases it can be envisaged to enhance the integration of the existing applications.","Event/Message Caching
Integration data format translation
Integration data transporting
Managed File Transfer",Integration Domain,4,Released,10,1,,,,1,10,1
Business Process Management & Workflow,(1) TAM Application Type,10.2,"Business Process Management (BPM) is the evolution of earlier concepts called workflow management (also known as Process Flow Management). As operators understand the need to introduce much greater flexibility and day-day change into their business processes, BPM and workflow management techniques, pioneered in manufacturing industry, are becoming more and more visible in the communications industry. 
Business flexibility is crucial for an operator as well as high levels of automation of its processes, not just of basic process flows but of complex and exception handling areas. One of the cardinal principles of Frameworx is to allow this by abstraction of business processes from application logic. The emergence of N-tier computing and component-oriented environments (such as COM and J2EE) allow for this principle in the same manner that the emergence of SQL and the two-tier client/server architecture enabled the abstraction of data management from application code. By separating business process management as an independent function, applications can be designed around existing processes, and thus to take advantage of shared business logic rather than reinventing and recoding it for each application.There are considerable benefits to an operator in adopting this type of approach and would include:Reduced costsStaff savingsCash flow improvementBetter customer perceptionFaster and more flexible response to implement new processes or amend existing ones to accommodate new products / servicesTo understand how BPM fits with an operator and its infrastructure, it is helpful to examine the individual components of BPM. While commercial implementations vary in their specific definitions and software composition, most fit within the basic framework described below. Note that although some systems offer the ability to automate activities and define business rules, those that lack the fundamental components below cannot realistically be used as a BPM system.A BPM system is defined by the components of:Execution EngineProcess Designer,Process DefinitionsActivity MonitorUser interface which may be a combination of a Windows client application, HTML based Work Portal, or an exposed API or Web serviceThe majority of BPM systems on the market today are component-oriented and allow each of the individual pieces listed above to be deployed independently on individual servers. Individual business processes are defined by the process owner in a Process Definition, (increasingly expressed in a standard language such as UML or some variation of XML). Each Process Definition may be composed of both manual activities and automated activities. Once defined and validated within the Process Designer, processes are instantiated by an Execution Engine. The Activity Monitor provides access to status and performance metrics on the execution of processes. End-to-end process ‘orchestration’It is unlikely that the implementation of a Frameworx based ‘lean’ migration program will be a ‘big bang’ type of approach implementing all new systems. Therefore, the Enterprise Integration Framework will need to integrate end-to-end processes across various ‘islands of automation’ ranging from existing legacy systems to new commercial-off-the-shelf technology. This approach is sometimes called ‘orchestration’ in process. An orchestration-based approach offers the ability to manage processes of greater complexity, (such as complex business service provisioning etc.) with far more efficiency than is otherwise possible with alternative approaches. The key to this is a modular approach to managing business rules, relationships, and activities.Within a simple workflow automation paradigm, processes are defined “end-to-end” with all possible paths (or more commonly a single path) pre-determined. Thus ‘Step 5’ always follows ‘Step 4’ and precedes ‘Step 6’ even if different instances of an otherwise standard process may require a different sequence.Orchestration allows for the sequencing of steps to be determined during the “run-time” instance of a process, with paths determined by evolving context resulting from each new step. Thus the potential number of paths and outcomes may otherwise be too complex to define in terms of pre-determined “If-Then-Else” rules, but may be easily resolved through human interaction and decision-making. This highlights the key architectural difference between automation and orchestration. Given the inherent complexity and constant changes within an operator’s business environment, effectively managing processes requires the agility to shift with changes in context, rather than always being bound to the same scripted flow. This requires the unique ability to define processes as a set of atomic, goal-based activities with the enforcement of basic parameters (e.g., time limits, data variables), while separating the execution logic activities from the higher-level process definition. Process orchestration is not limited to invoking software, but rather represents a shift from task-based to goal-oriented process definition. Web services and other forms of software automation are utilized through process orchestration, yet not to the exclusion of manual, human-driven activities.","BPM Activity Monitor
BPM execution engine
BPM Process Designer",Integration Domain,4,Released,10,2,,,,1,10,1
