Frameworx Function,Description,Function Identifier,Frameworx Application (containing),Vertical Group,Frameworx Domain,Issue
Service Performance Data Collection,Service Performance Data Collection collects Service Performance Data from the Resource Management functions related to a specific Service (or directly in the absence of Resource Performance Management function) and Collection of Service Performance data from the end-to-end tests done by the service test functions internally or from external Service Test applications. Including archiving.,603,Service Performance Monitoring,Assurance,Service Domain,Application Framework 21.0 Modification
Service Performance Event Correlation,"Service Performance Event Correlation  maps the performance data to service topology and identifies service related performance problems, event filtering included",604,Service Performance Monitoring,Assurance,Service Domain,Application Framework 21.0 Modification
Service Performance Monitoring,Service Performance Monitoring provides monitoring of service performance data including notification and accumulation for e.g. Service Performance Dashboard.,605,Service Performance Monitoring,Assurance,Service Domain,Application Framework 21.0 Modification
Service Performance Reporting,"Service Performance Reporting provides the necessary functionality required to generate reports about the performance of the service provider's services. 
These reports may be generated as part of the normal periodic operations (""scheduled""), or may be as a result of a specific analysis request (""in-demand"").  Report types include near real time, historical view, and trend analysis.
Relevant performance reports are also provided to service/network planning to perform network updates.",606,Service Performance Reporting,Assurance,Service Domain,
Service Performance Root Cause Analyzing,"Service Performance Root Cause Analyzing provides support for analyzing of performance data received from Service Performance Monitoring, considering service topology to support determining the root causes of service performance degradations",601,Service Performance Analysis,Assurance,Service Domain,Application Framework 21.0 Modification
Service Problem Automatic Correction,"Service Problem Automatic Correction functions provide the necessary maintenance functionality to automatically resolve service problems back to a normal operational state or mitigation of the service problems.
This involve automated restoration activities. ",612,Service Problem Correction & Resolution,Assurance,Service Domain,Application Framework 21.0 Modification
Service Problem Configuration Verification,Service Problem Configuration Verification; Support function for Verification that service configuration matches the product features,611,Service Problem Analysis,Assurance,Service Domain,
Service Problem Correction Reporting,Service Problem Correction Reporting and notification of correction status to applications and personnel responsible for problem mitigation of the services and resources.,984,Service Problem Correction & Resolution,Assurance,Service Domain,
Service Problem Manual Correction Support,"Service Problem Manual Correction Support functions provide the functionality of dispatching of field technicians for manual restoration activities to resolve the service problem back to a normal operational state as efficiently as possible.
This may involve reconfiguration, re-assignments, or temporary work-arounds",1067,Service Problem Correction & Resolution,Assurance,Service Domain,
Service Problem Messages Monitoring,Service Problem Messages Monitoring is responsible for collecting status messages for further correlation and comparison to the topology and service monitoring model.,982,Service Problem Monitoring,Assurance,Service Domain,Application Framework 21.0 Modification
Service Problem Monitoring Model Data Definition,"Accepting input from customer contracts, service definitions (KQIs, SLOs etc.) or changes in the service topology the function establishes the data the models needs for monitoring of services with respect to problems",954,Service Problem Model Establishment,Assurance,Service Domain,Application Framework 21.0 Modification
Service Problem Monitoring Model Data Integration,"Establishment of data sources for monitoring of customer contracts, service definitions (KQIs, SLOs etc.) or changes in the service topology the function establishes the data the models needs for monitoring of services with respect to problems",955,Service Problem Model Establishment,Assurance,Service Domain,Application Framework 21.0 Modification
Service Problem Monitoring Model Definition,Service Problem Monitoring Model Definition; Definition of the service problem monitoring model and its dependencies,952,Service Problem Model Establishment,Assurance,Service Domain,
Service Problem Monitoring Model Establishing,"Service Problem Monitoring Model Establishing function provides establishment of models to derive, identify and mitigate Service Problems.",953,Service Problem Model Establishment,Assurance,Service Domain,Application Framework 21.0 Modification
Service Problem Prioritization,"Service Problem Prioritization; Prioritization of currently open service problems, giving consideration to problem impact, service level agreement, etc. The function will send notifications to operations applications for manual or automatic mitigation or correction.",610,Service Problem Analysis,Assurance,Service Domain,
Service Problem Receiving,Service Problem Receiving functions provide appropriate functionality to receive customer problems (manually or automated) that are perceived to be service affecting as well as resource troubles (faults).,613,Service Problem Reception,Assurance,Service Domain,Application Framework 21.0 Modification
Service Problem Reporting,"Service Problem Reporting functions provide the necessary functionality to report on the status of open service problems.  This includes operational reports, management reports, reports against various metrics, as well as information needed by other BSS or OSSes.",614,"Service Problem Monitoring
Service Problem Reporting",Assurance,Service Domain,
Service Problem SLA Monitoring,"Service Problem SLA Monitoring function is comparing the service problem status', severity and lapse of time against established service level agreements.",983,Service Problem Monitoring,Assurance,Service Domain,Application Framework 21.0 Modification
Service Problem Test Analyzing,Service Problem Test Analyzing provides an analysis function for analysis of service problem test results,607,Service Problem Analysis,Assurance,Service Domain,Application Framework 21.0 Modification
Service Problem Test Initiation,"Service Problem Test Initiation provides initiation of service tests, including one time tests or a series of tests over a period of time. Notify the test results to operations personnel and applications.",609,Service Problem Analysis,Assurance,Service Domain,Application Framework 21.0 Modification
Service Problem to Topology Correlation,Service Problem to Topology Correlation provides correlation of collected service problem status messages to service topology and comparing them to the established service monitoring model.,1068,Service Problem Monitoring,Assurance,Service Domain,
Service Problem Tracking & Management,"Service Problem Tracking & Management functions provides necessary functionality to assure that service problems are assigned, coordinated, and restored efficiently, escalating as needed.",615,Service Problem Tracking & Management,Assurance,Service Domain,
Service Quality Analyzing,"Service Quality Analyzing functions analyze and evaluate the quality data collected by Service Quality Monitoring, and considering the past service quality data or system environment data in the analysis, notifying operations functions for automatic or manual action in case of alarming analysis results.",631,Service Quality Analysis,Assurance,Service Domain,Application Framework 21.0 Modification
Service Quality Collection & Monitoring,"Service Quality Collection & Monitoring collects service quality related information from established sources, including service performance management, service problem management, third parties, and customers. Collected data is logged for further analysis and monitored for direct notification in case of significant quality deviation.",620,Service Quality Collection & Monitoring,Assurance,Service Domain,
Service Quality Comparison,Service Quality Comparison; Comparison of the collected service quality data to the KQIs and SLOs established by SQM Establishment.,633,Service Quality Analysis,Assurance,Service Domain,
Service Quality Correlation,Service Quality Correlation; Service quality information correlation from various sources to determine root cause and impact,635,Service Quality Analysis,Assurance,Service Domain,
Service Quality Data Sources Establishing,Service Quality Data Sources Establishing provides definition and establishment of data sources for monitoring of input from customer contracts or service definitions.,622,Service Quality Model Establishment,Assurance,Service Domain,Application Framework 21.0 Modification
Service Quality Improvement Analyzing,Service Quality Improvement Analyzing provides an analyzing function to provide conclusions to relevant areas to make quality improvement proposals,619,Service Quality Analysis,Assurance,Service Domain,Application Framework 21.0 Modification
Service Quality Indicator Establishing,Service Quality Indicator Establishing provides establishment of KQIs and SLOs and the rules and policies connected to them.,623,Service Quality Model Establishment,Assurance,Service Domain,Application Framework 21.0 Modification
Service Quality Model Definition,Service Quality Model Definition; Definition of the service quality model and its dependencies,621,Service Quality Model Establishment,Assurance,Service Domain,
Service Quality Reporting,Service Quality Reporting functions generate various reports on service quality and makes them available for consumption. E.g. Visual aids,624,Service Quality Reporting,Assurance,Service Domain,
Service Quality Trend Analyzing,Service Quality Trend Analyzing provides service quality evaluation of the trends over time,634,Service Quality Analysis,Assurance,Service Domain,Application Framework 21.0 Modification
Service Root Problem Analyzing,Service Root Problem Analyzing provides analysis of customer's present and past problem information by correlation and consolidation of the various customer problems and resource troubles into a single root service problem,608,Service Problem Analysis,Assurance,Service Domain,Application Framework 21.0 Modification
Service Task Item Decomposition,Service Task Item Decomposition: By a request for an orchestration of a service the service needs to be analyzed and decomposed into the part-actions necessary to take to fulfill the requested orchestration. The Service may consist of several services and may use a number of Resources. It may also be controlled by several parameters for optional behaviors. This composition of the Service is given by configuration data available from Catalog applications and the Service Capability Orchestration application.,963,Service Capability Orchestration,"Assurance
Fulfillment
Readiness & Operations Support",Service Domain,
Service Task Item Policy Control Configuration,Service Task Item Policy Control Configuration; Define and configure the policies which will be implemented during the Service task item lifecycle.,995,Service Capability Orchestration,"Assurance
Fulfillment
Readiness & Operations Support",Service Domain,
Service Termination Points Determining,Service Termination Points Determining determines the termination points i.e. the appropriate service provider entry point to support the Customer's service request.,632,Service Termination Points Determination,Fulfillment,Service Domain,Application Framework 21.0 Modification
Service Test Operation Control,"Service Test Operation Control function provides the necessary functionality to access, command and control the various service test devices required to perform service testing.",625,Service Test Command and Control,Readiness & Operations Support,Service Domain,Application Framework 21.0 Modification
Service Test Resources Availability Management,Service Test Resources Availability Management manage that end to end test resources and test heads are available including acquisition of test resources.,574,Service Test Lifecycle Management,Readiness & Operations Support,Service Domain,Application Framework 21.0 Modification
Service Test Result Analysis Policy Configuration,"Service Test Result Analysis Policy Configuration functions provide the necessary functionality to manage how the test results should be interpreted.
Strategies can range from simple (e.g. - check the status of a router) to complex (e.g. - perform an end-to-end test on a circuit and sectionalize the problem).",566,Service Test Strategy and Policy Management,Readiness & Operations Support,Service Domain,Application Framework 21.0 Modification
Service Test Results Reporting,Service Test Results Reporting provides reporting of service end to end test results back to the client,575,Service Test Lifecycle Management,Readiness & Operations Support,Service Domain,Application Framework 21.0 Modification
Service Test Strategy Management,Service Test Strategy Management functions provide the necessary functionality to manage the local rules that define the strategies for conducting a test as well as how the test results should be interpreted.,627,Service Test Strategy and Policy Management,Readiness & Operations Support,Service Domain,Application Framework 21.0 Modification
Service Testing Management,"Service Testing Management functions provides the necessary functionality to manage the end-to-end lifecycle of a test of a service.
Including the management of scheduling, retrieval of appropriate inventory data, setting up the test configuration, acquisition and management of test resources, test execution, test results interpretation, reporting of test results and close down of the test of the service.",626,Service Test Lifecycle Management,Readiness & Operations Support,Service Domain,Application Framework 21.0 Modification
Service Testing Rules Management,Service Testing Rules Management provides management of service testing rules,573,Service Test Lifecycle Management,Readiness & Operations Support,Service Domain,Application Framework 21.0 Modification
Service to Resource Relationship Management,"Service to Resource Relationship Management provides Creation, Update and Deletion of the relations of stand-alone physical or logical resources whose assignment is critical to service's  fulfilment, and whose tracking is critical to service operations, assurance, and billing, as well as, resources, which represent a larger resource structure supporting the service, often referred to as an Access Point.",628,Service-Resource Inventory,Readiness & Operations Support,Service Domain,Application Framework 21.0 Modification
Service to Resource Relationship Synchronization,Service to Resource Relationship Synchronization function entails reconciliation of the data in a Service Inventory Management system with inventory discovered from other sources and synchronizes mismatched service inventory records.,629,"Service-Resource Inventory
Service Inventory Reconciliation / Synchronization",Readiness & Operations Support,Service Domain,Application Framework 21.0 Modification
Service Work Item Sequence Execution Configuration,"Service Work Item Sequence Execution Configuration: The “Service Work Item Sequence Execution” function controls so that the sequence is fulfilled, or rolled back. The rules for the sequence execution will set the conditions for the fulfillment, or roll-back, and for the reporting and notification. The “Service Task Item Sequence Carry Through configuration” is a management of the application function that defines how the execution of the orchestration sequence will be done.",969,Service Capability Orchestration,"Assurance
Fulfillment
Readiness & Operations Support",Service Domain,Application Framework 21.0 Modification
Service Work Item Sequence Execution,"Service Work Item Sequence Execution function executes each individual item in sequence of the service orchestration to fulfill, or roll back according to a pre-defined configuration, and reports the sequence execution result.
Because of the “Service Decomposition” of an orchestration request the result may be several actions that needs to take place in a specific sequence.",968,Service Capability Orchestration,"Assurance
Fulfillment
Readiness & Operations Support",Service Domain,Application Framework 21.0 Modification
Service/Product Activation,Service/Product Activation function for services/products sold by affiliates.,341,Affiliates,Fulfillment,Market Sales Domain,Application Framework 21.0 Modification
Settlement Adjustment and Billed Charges Collection,Settlement Adjustment and Billed Charges Collection gathers substantiating adjustment and billing data to support supplier/partner invoice reconciliation and partner settlements.,640,Supplier/Partner Data Collection (Deleted),Readiness & Operations Support,Business Partner Domain,Application Framework 21.0 Modification
Settlement Usage and/or Charges Collection,Settlement Usage and/or Charges Collection gathers Usage and/or supplier/partner charges to support supplier/partner invoice reconciliation and partner settlements.,642,Supplier/Partner Data Collection (Deleted),Readiness & Operations Support,Business Partner Domain,Application Framework 21.0 Modification
Shared Allowances Charging,Shared Allowances Charging links a charge record to shared allowance if exists,74,Billing Account Associations Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Shopping Cart Purchasing Access,Shopping Cart Purchasing Access function provide an internet technology driven interface to the customer to undertake self service purchase.,277,Customer Self Empowered Fulfillment,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Short-Cut Action Launching,"Short-Cut Action Launching provides configurable, short-cut buttons that launch key functions for streamlining actions a CSR commonly performs. (e.g. create a case, prepare an order, update an address)",285,Customer Service Representative Toolbox,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Single Point of Contact Access,"Single Point of Contact Access provides a single entry point for suppliers and partners to access various tools used for ordering, assurance, reporting, product management and reconciliation as well as customer contact and retention management capabilities",385,"Retail Outlets
Virtual Network Operators (Dealers)",Fulfillment,Market Sales Domain,Application Framework 21.0 Modification
Single Sign-On Access Control,Single Sign-On Access Control grant access in cooperation with central Authentication and Authorization functions to secure the most updated security.,899,"Application Security
Customer Service Representative Toolbox",,Enterprise Domain,Application Framework 21.0 Modification
SLA Violation Notification,SLA Violation Notification function provide the necessary functionality to notify appropriate people or systems to remedy the SLA violation.,296,Customer SLA Violation Management,Assurance,Customer Domain,Application Framework 21.0 Modification
Software Update Planning,Software Update Planning for applying in a timely manner the software patches and upgrades that address known vulnerabilities,902,Vulnerability Management,,Enterprise Domain,
Solution Design Creation,"Solution Design Creation function combine/configure the emerged solution based on the existing solution, planned changes and newly designed features (e.g. for site connectivity services)
Selecting relevant Products and Services from Catalog – Browse and select entries from a catalog that might be relevant to the set of captured requirements into the design.",928,Solution Design,Fulfillment,Market Sales Domain,Application Framework 21.0 Modification
Solution Pricing,Solution Pricing; The Solution  Pricing function is concerned with assuring that the designs are priced consistent with pricing used for billing. The common product catalog provides an initial price base for the components that are in the solution vs. the existing configuration at the customer location.,931,Solution Pricing,Fulfillment,Market Sales Domain,
Solution Requirements Capturing,"Solution Requirements Capturing captures the overall solution requirements (e.g. target date, customer locations, multi-location/shared services)
and – Capture the particular requirements for each customer location as part of the desired solution",935,Solution Requirements Capture,Fulfillment,Market Sales Domain,Application Framework 21.0 Modification
Solution Services Design Management,"Solution Services Design Management function supports the end to end service design. It applies engineering rules to determine required network facilities, equipment configurations and the method and access path to the customer site or location of service termination. 
This function also establishes and manages the detailed design tasks required to issue the work orders.",570,Design Solution,Fulfillment,Service Domain,Application Framework 21.0 Modification
Sourcing Reference Data Collection,"Sourcing Reference Data Collection collects definition of products and services, pricing schemes, partner entities and contracts into the system. Easy uploading of reference data from external sources such as XML files.",662,Wholesale / Interconnect Billing,Billing & Revenue Management,Business Partner Domain,Application Framework 21.0 Modification
SOX Compliance Auditing,SOX Compliance Auditing provides an auditing function for SOX compliance,871,Auditing,,Enterprise Domain,Application Framework 21.0 Modification
Space/Cost of Fixed Assets Planning,"Space/Cost of Fixed Assets Planning function for Integration to Asset management, including support for total cost of occupancy",881,Space Planning,,Enterprise Domain,Application Framework 21.0 Modification
Spares Inventory  Administration,"Spares Inventory  Administration provides a database of all spares including location of the spares, as part of the Spares & Warehouse Inventory Management",521,Spares & Warehouse Inventory Management,Lifecycle Management,Resource Domain,Application Framework 21.0 Modification
Spares Inventory Tracking and Replenishment,Spares Inventory Tracking and Replenishment support reconciliation for the Spares & Warehouse Inventory Management including retrieval and update with update notifications,523,Spares & Warehouse Inventory Management,Lifecycle Management,Resource Domain,Application Framework 21.0 Modification
Split Bill Charge Distribution,Split Bill Charge Distribution provides charge and event distribution to support a split bill,60,Customer Bill Charge Calculation,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Staff Onboarding,"Staff Onboarding provides the following functionality:
• Tracking of candidate through process. 
• Interviewing candidates by recruiter. 
• Ranking of candidates for hiring manager interview. 
• Background checks.
• Organizational Management",781,Recruitment & Staffing,,Enterprise Domain,Application Framework 21.0 Modification
Staff Recruiting Support,"Staff Recruiting Support provides the following functionality:
• Job Descriptions/Job Briefs 
• Sourcing of candidates through job boards, job fairs, advertisements, referrals, company job site",780,Recruitment & Staffing,,Enterprise Domain,Application Framework 21.0 Modification
Start/Stop of Account Collection Treatment,Start/Stop of Account Collection Treatment manage the forcing of accounts into collection and Stopping collection treatment,132,Collection,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Statistics on Supplier/Partner Activities Collection,Statistics on Supplier/Partner Activities Collection collects supplier/partner statistics on Supplier/Partner activities data to support supplier/partner invoice reconciliation and partner settlements.,641,Supplier/Partner Data Collection (Deleted),Readiness & Operations Support,Business Partner Domain,Application Framework 21.0 Modification
Stock Balancing with Distribution,Stock Balancing with Distribution provides stock balancing and distribution in reaction to needs or special events,480,Resource Logistics,"Assurance
Fulfillment
Readiness & Operations Support",Resource Domain,Application Framework 21.0 Modification
Strategic Network Sizing Decision Support,Strategic Network Sizing Decision Support; Support Strategic Network Sizing Decisions -Support strategic decisions as to which locations and which links to grow or shrink across the network,528,Strategic Planning,Lifecycle Management,Resource Domain,
Strategic Planning Results Storage,"Strategic Planning Results Storage provides the strategic planning result to be stored in either strategic or tactical planning system, but data will need to exist in both to support interworking.",527,Strategic Planning,Lifecycle Management,Resource Domain,Application Framework 21.0 Modification
Strategic Sites Determining,Strategic Sites Determining determines which locations are to become strategic sites.,526,Strategic Planning,Lifecycle Management,Resource Domain,Application Framework 21.0 Modification
Subscribed Products' Services and Resources  Verification,"Subscribed Products' Services and Resources  Verification verifies which services and resources the customer's use as part of the problematic product, and what service/support they are entitled to. 
E.g.: 
• Products purchased and being used by the customer 
• Material purchase from the service provider, even if they do not have an account with the said service provider.",222,Customer Problem Qualification & Reception,Assurance,Customer Domain,Application Framework 21.0 Modification
Supplied Materials Receiving Management,"Supplied Materials Receiving Management provides logistics management functionality for Receiving materials from suppliers The function manages suppliers’ goods deliveries including goods receipt checking (quantity, working)",753,"Logistics Management
Supplier/Partner Order Management (Deleted)",Readiness & Operations Support,Resource Domain,Application Framework 21.0 Modification
Supplier/Partner Invoice Reconciliation,Supplier/Partner Invoice Reconciliation uses the charges (and e.g. adjustments) from the supplier/partner along with substantiating information available to the service provider to reconcile the invoice presented by the supplier/partner.,652,Supplier/Partner Invoice Reconciliation (Deleted),Billing & Revenue Management,Business Partner Domain,
Supplier/Partner Settlements Reporting,Supplier/Partner Settlements Reporting provides the necessary functionality to create reports that substantiate the settlement.,644,Supplier/Partner Data Collection (Deleted),Readiness & Operations Support,Business Partner Domain,Application Framework 21.0 Modification
Supplier/Partner Settlements,"Supplier/Partner Settlements; Partner Settlements provides the necessary functionality to calculate a settlement with the partner, initiate the payment or bill to the partner.",643,Supplier/Partner Data Collection (Deleted),Readiness & Operations Support,Business Partner Domain,
Supply Chain Order Shipment Tracking,"Supply Chain Order Shipment Tracking provides the necessary functionality to track the movement of shipments from point of origin through cross-docks, and to the final destination.",755,Supply Chain Order Tracking Management,,Enterprise Domain,Application Framework 21.0 Modification
Supply Demand Forecasting,"Supply Demand Forecasting provides demand planning and forecasting, including coordinating the demand forecast of all marketing plans and requisitions, and sharing the forecast with all suppliers",748,Supply Chain Planning,,Enterprise Domain,Application Framework 21.0 Modification
Supply Sourcing Planning,"Supply Sourcing Planning; Sourcing planning, including current inventory and forecast demand, in collaboration with all suppliers",749,Supply Chain Planning,,Enterprise Domain,
Support Resource Statistical Analyzing,Support Resource Statistical Analyzing function support statistical analysis on test results to track the long term error trajectory of a particular resource.,990,{T}Resource Verification Management,Readiness & Operations Support,Resource Domain,Application Framework 21.0 Modification
Tactical Resource Planning,"Tactical Resource Planning; Tactical Planning; detailed design of resource against the existing networked resource at all technology layers, ensuring that the designed resource is actually deployed and for accurately recording the resultant inventory.",529,Tactical Planning,Lifecycle Management,Resource Domain,
Tax Information Reporting,Tax Information Reporting provides a function for Financial Reporting of tax information to Corporate Tax in support of tax compliance.,729,Financial Reporting,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Telesales Tools Support,"Telesales Tools Support for multimedia integration  as Computer Telecom Integration, Predictive dialer, Email, including follow up and cross selling tools.",397,Telesales,Fulfillment,Market Sales Domain,Application Framework 21.0 Modification
Temporary Balance Units Reservation,Temporary Balance Units Reservation provides Unit reservation from a balance for a specified interval (session). Unused units are credited back into the balance when the session is released.,44,Balance Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Tender Development,Tender Development function supports developing the tender from scratch or based on template. Including the definition of templates for tenders to be reused.,1046,Tender Management,"Capability Delivery
Lifecycle Management",Business Partner Domain,
Tender to Partner Qualification,Tender to Partner Qualification function identifies the list of potential partner who can bid for the tender based on defined partner strategy and partner profiles.,1049,Tender Management,"Capability Delivery
Lifecycle Management",Business Partner Domain,
Tender Tracking and Reporting,Tender tracking and reporting function track and compile the biddings and responses and reports the tender/bidding status and responses.,1048,Tender Management,"Capability Delivery
Lifecycle Management",Business Partner Domain,
Tender Workflow Guiding,Tender workflow guiding supports the tender workflow creation and guiding throughout the bidding process and tender finalization.,1047,Tender Management,"Capability Delivery
Lifecycle Management",Business Partner Domain,
Time & Attendance Reporting,"Time & Attendance Reporting provides the following functionality: 
• Attendance and Absence reporting and analytics.",779,Time Reporting & Attendance Management,,Enterprise Domain,
Time Attendance Management,"Time Attendance Management provides the following functionality:
• Time capture. 
• Time tracking. 
• Time calculations. 
• Time allocation. 
• Attendance and Absence tracking.",778,Time Reporting & Attendance Management,,Enterprise Domain,
Total Cost of Ownership Tracking,Total Cost of Ownership Tracking; Fixed Asset Total Cost of Ownership tracking,816,Fixed Assets,,Enterprise Domain,
Transactional Document Data Sending,"Transactional Document Data Sending sends data to downstream interfaces, for transactional documents generation for such as finance, warehouse, etc.",340,Transactional Document Generator,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Transactional Document Delivering,"Transactional Document Delivering makes transactional documents available via paper, CD-ROM, DVD, EDI, electronic, etc, as specified by the customer.",308,Document Delivery,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Transactional Document Information Formatting,Transactional Document Information Formatting; Formats document information in the customer selected or default format,337,Transactional Document Generator,Readiness & Operations Support,Customer Domain,
Transactional Document Input Data Sourcing Configuration,Transactional Document Input Data Sourcing Configuration defines the data input source specification for run time production,332,Transactional Document Formatter,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Transactional Document Legend Generation,"Transactional Document Legend Generation generates and formats section legends (summary, call detail, etc.) based on regulatory requirements.",338,Transactional Document Generator,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Transactional Document Marketing Information Incorporation,Transactional Document Marketing Information Incorporation incorporates marketing messages in the transactional documents,339,Transactional Document Generator,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Transactional Document Multiple Account Aggregation,"Transactional Document Multiple Account Aggregation aggregates multiple accounts, and generates an appropriate invoice/billing statement (if a billing statement).",335,Transactional Document Generator,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Transactional Document Regional Requirements Appliance,Transactional Document Regional Requirements Appliance applies tax id numbers and other legally mandated information in accordance with region specific requirements,336,Transactional Document Generator,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Transactional Document Rules for Input to Template  Binding Configuration,Transactional Document Rules for Input to Template  Binding Configuration defines the binding rules between the input data and the template format,331,Transactional Document Formatter,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Transactional Document Template Resource Configuration,"Transactional Document Template Resource Configuration defines and maintains resources (font, colors, images and language) for the template",333,Transactional Document Formatter,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Transactional Document Template Usage Business Rules Configuration,Transactional Document Template Usage Business Rules Configuration provides development and maintenance of business rules for the transactional document template usage,334,Transactional Document Formatter,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Transformation and Formatting Configuration,Transformation and Formatting Configuration function configures the possible transformation and formatting algorithms to be used.,1024,Data Transformation and Formatting,,Enterprise Domain,Application Framework 21.0 Modification
Transportation Management,Transportation Management function that provide workflow and orchestration for the planning of materials to be shipped to and from different locations.,752,"Transportation & Travel Service
Transportation Management",,Enterprise Domain,
Unbilled Events Categorization,Unbilled Events Categorization provides the ability to categorize unbilled events,81,Billing Event Error Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Unbilled Invoice Items Listing,Unbilled Invoice Items Listing lists all unbilled invoice items for current bill cycle,66,Bill Inquiry,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Unclaimed Checks Escheatment,Unclaimed Checks Escheatment provides a cash reconciliation & escheatment function for escheatment of unclaimed checks to the proper jurisdictions,861,Cash Reconciliation & Escheatment,,Enterprise Domain,Application Framework 21.0 Modification
Unclaimed Payable Funds Recovery,Unclaimed Payable Funds Recovery provides a cash reconciliation & escheatment function for recovery of unclaimed funds payable to the service provider that may be held by various jurisdictions,862,Cash Reconciliation & Escheatment,,Enterprise Domain,Application Framework 21.0 Modification
Unique Employee Number Registration,Unique Employee Number Registration in a central repository based on secure methods for identity verification. (The repository can be a distributed system.),895,Employee Identification Management,,Enterprise Domain,
Usage Event Collection,"Usage Event Collection ; These functions are required to support both file and event based (batch and real-time) processing when distributed to upstream systems. The events are used in the functions for charging/billing, assurance and management of customers and networks.",534,Usage Event Processing,Billing & Revenue Management,Resource Domain,
Usage Event Correlation,"Usage Event Correlation; These functions are required to support both file and event based (batch and real-time) processing when distributed to upstream systems. The events are used in the functions for charging/billing, assurance and management of customers and networks.",535,Usage Event Processing,Billing & Revenue Management,Resource Domain,
Usage Event Distribution,"Usage Event Distribution functions are required to support both file and event based (batch and real-time) processing when distributed to upstream systems. The events are used in the functions for charging/billing, assurance and management of customers and networks.",536,Usage Event Processing,Billing & Revenue Management,Resource Domain,
Usage Event Enrichment,"Usage Event Enrichment . These functions are required to support both file and event based (batch and real-time) processing when distributed to upstream systems. The events are used in the functions for charging/billing, assurance and management of customers and networks.",537,Usage Event Processing,Billing & Revenue Management,Resource Domain,
Usage Event Error Categorization,"Usage Event Error Categorization; Categorize unbilled usage events for usage records which have been identified as being non-processable due to edit, rate, guide, routing, etc. Failures",530,Usage Event Error Management,Billing & Revenue Management,Resource Domain,
Usage Event Error Cause Analyzing,"Usage Event Error Cause Analyzing provides functions to identify the error cause for usage records which have been identified as being non-processable due to edit, rate, guide, routing, etc. failures",532,Usage Event Error Management,Billing & Revenue Management,Resource Domain,Application Framework 21.0 Modification
Usage Event Error Correction,"Usage Event Error Correction provides correction capabilities (via mechanized script or manual correction) for usage records which have been identified as being non-processable due to edit, rate, guide, routing, etc. Failures",531,Usage Event Error Management,Billing & Revenue Management,Resource Domain,Application Framework 21.0 Modification
Usage Event Guiding,"Usage Event Guiding functions are required to support both file and event based (batch and real-time) processing when distributed to upstream systems. The events are used in the functions for charging/billing, assurance and management of customers and networks.",538,Usage Event Processing,Billing & Revenue Management,Resource Domain,Application Framework 21.0 Modification
Usage Event Mediation,"Usage Event Mediation . These functions are required to support both file and event based (batch and real-time) processing when distributed to upstream systems. The events are used in the functions for charging/billing, assurance and management of customers and networks.",539,Usage Event Processing,Billing & Revenue Management,Resource Domain,
Usage Summary and Details Presentation,Usage Summary and Details Presentation presents usage summary and details (billed and non-billed) for a specific time period,67,Bill Inquiry,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Virtual Network Operator Brand Personalization,"Virtual Network Operator Brand Personalization provides user interface of each VNO to be “personalized” to the VNO's business (look and feel, business flow, etc.) for cases where the network provider serves multiple VNOs under the same BSS environment (multi tenancy).",404,Virtual Network Operators (Dealers),Fulfillment,Market Sales Domain,Application Framework 21.0 Modification
Voice Channel Contact Routing,"Voice Channel Contact Routing function provides the means for a customer to speak to a service representative, including the mechanism to query the customer (e.g. – IVR) on the nature of their request, and routing of the contact to the best available agent with the skills required for the contact and presents to the agent selected call information.",168,Voice Channel Contact,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Voucher Distribution,Voucher Distribution to dealers including shipment and validation of reception of actual vouchers,563,Voucher Management,Billing & Revenue Management,Resource Domain,
Voucher Life Cycle Management,"Voucher Life Cycle Management including activation, locking, expiration and maintenance of purchased vouchers",564,Voucher Management,Billing & Revenue Management,Resource Domain,
Voucher Ordering,"Voucher Ordering including the ability to generate, modify, authorize and associate a PIN with serial numbers and dispatch the order to the manufacturer",565,Voucher Management,Billing & Revenue Management,Resource Domain,
